Year;SSB
2004;55839.2
2005;51622.1
2006;47962.3
2007;45703.5
2008;44698.3
2009;44148
2010;43398.5
2011;42258.6
2012;40624.3
2013;38602.5
2014;36563.6
2015;34499.5
2016;32661.4
2017;31828.1
2018;31950.3
2019;32795.2
2020;34632.9
2021;37305
2022;40791.3
2023;44534.9
2024;49417.7
