Year;Catch
2004;7558.636127
2005;8589.410875
2006;11112.53076
2007;9230.86001
2008;8503.801036
2009;8146.778473
2010;7070.597588
2011;6618.963626
2012;7043.322545
2013;6802.83861
2014;5595.259524
2015;5901.709559
2016;5834.00126
2017;6091.378686
2018;6158.857021
2019;5361.988993
2020;4798.621409
2021;4946.101333
2022;5674.726129
2023;6305.3514
2024;5388.14317
